Directorate,Department,Specialty,Team,Role,Full/Part Time,Start Date,Contract,Classification,Administrative work directly related to clinical care,Clinical diagnostic work,Clinical service management,Multidisciplinary meetings,Operating sessions,Other patient treatment,Out-patient activities,Predictable Emergency Work,SAS Doctor Shift Work,Travelling time,Unpredictable Emergency Work,Ward rounds,Total,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,Consultant,Full time,01/04/2025,2003,Locum,1.4376,,,2.3750,,,0.3750,,,,,4.1563,8.3439,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,SAS Doctor,Full time,01/04/2025,2021,,1.5000,,,1.2188,,,1.9375,,,,,3.8750,8.5313,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,Consultant,Full time,01/04/2025,2003,,1.7501,,,2.1875,,,0.5000,1.0000,,,,4.0000,9.4376,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,Consultant,Full time,01/04/2025,2003,,1.0000,,,1.8125,,,0.5625,,,,,5.0625,8.4375,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,Consultant,Full time,01/04/2025,2003,,1.4063,,,0.2500,,,,,,,,4.5313,6.1876,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,Consultant,Full time,01/04/2025,2003,,2.0938,,,1.5000,,,,,,,,4.6250,8.2188,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Elderly Medicine,,SAS Doctor,Full time,01/04/2025,2021,,2.1876,,,1.7188,,,,,,,,4.5000,8.4064,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,General Medicine,,Consultant,Full time,16/09/2024,2003,,1.7500,,1.7813,,,,0.3750,1.0000,,,,4.6250,9.5313,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,General Medicine,,Consultant,Full time,01/04/2025,2003,Locum,1.7500,,1.6875,,,,0.3750,1.0000,,,,4.7188,9.5313,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,General Medicine,,Consultant,Full time,01/04/2025,2003,,1.4376,,1.8126,,,,0.4375,1.0000,,,,4.6875,9.3752,
NEW: Integrated Emergency and Medical Pathways Division,Frailty and General Medicine ,Palliative Care,,Consultant,Full time,01/04/2025,2003,,1.3750,,,0.6250,1.5000,,,,,,,4.7500,8.2500,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,SAS Doctor,Full time,01/04/2025,2021,,2.1500,0.9750,,0.2000,,,3.7000,,,,,3.3000,10.3250,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,SAS Doctor,Full time,01/04/2025,2021,,1.1250,0.3750,,0.1250,0.3750,,3.4688,,,,,3.9376,9.4064,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,SAS Doctor,Full time,01/04/2025,2021,,1.4063,0.7500,,0.1250,0.7500,,3.0000,,,,,3.2188,9.2501,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,Consultant,Full time,01/04/2025,2003,,1.9250,4.0000,,0.5250,,,4.3250,,,,,,10.7750,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,Consultant,Full time,01/04/2025,2003,,0.8437,0.2292,,0.8021,5.0001,,1.4896,,,,,1.0415,9.4062,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,SAS Doctor,Full time,01/04/2019,2008,,1.4000,1.9500,,0.2000,,,3.6000,,,,,1.4000,8.5500,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,SAS Doctor,Full time,01/04/2025,2021,,1.0000,3.0000,,0.5000,,,4.0000,,,,,,8.5000,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,Consultant,Full time,01/04/2025,2003,,2.3000,1.5000,,1.0000,0.7500,,2.8000,,,,,1.0000,9.3500,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,Consultant,Full time,01/04/2025,2003,,2.8542,1.0000,,0.7500,0.1250,,4.1665,,,,,0.6772,9.5729,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Cardiology,,SAS Doctor,Full time,01/04/2025,2021,,1.4375,0.7500,,0.1250,0.7500,,2.2500,,,,,3.5000,8.8125,
NEW: Integrated Emergency and Medical Pathways Division,Medical Specialities ,Diabetes and endocrinology,,Consultant,Part time,01/04/2025,Pre 2003,,1.5000,,,,,,2.0000,,,,,,3.5000,
