,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,Nursing,2024-03,,WTE,-6.76,"-£39,481.61",,,Acute Medicine,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.76,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,"Scientific, Therapeutic & Tech",2023-11,,WTE,-1.79,"-£8,522.55",,,Acute Medicine,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-1.79,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,"Scientific, Therapeutic & Tech",2023-12,,WTE,-1.79,"-£8,522.55",,,Acute Medicine,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-1.79,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,"Scientific, Therapeutic & Tech",2024-01,,WTE,-1.79,"-£8,522.55",,,Acute Medicine,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-1.79,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,"Scientific, Therapeutic & Tech",2024-02,,WTE,-1.79,"-£8,522.55",,,Acute Medicine,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-1.79,
,Urgent and Emergency Care,257511,MEDICAL STAFF ACUTE MEDICINE,Pay,"Scientific, Therapeutic & Tech",2024-03,,WTE,-1.79,"-£8,522.55",,,Acute Medicine,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-1.79,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Medical,2023-11,,WTE,0.00,"£2,220.99",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,0.00,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Medical,2023-11,,WTE,0.00,-£4.08,,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,0.00,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Medical,2023-12,,WTE,0.00,"£6,169.41",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,0.00,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Medical,2023-12,,WTE,-2.40,£0.00,,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-2.40,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Medical,2024-01,,WTE,0.00,-£392.96,,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,0.00,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Medical,2024-01,,WTE,-2.26,£0.00,,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-2.26,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Medical,2024-02,,WTE,0.00,£392.96,,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,0.00,
,Urgent and Emergency Care,257515,EMERGENCY DEPARTMENT,Pay,Medical,2024-02,,WTE,-2.24,£0.00,,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-2.24,
