Service Type,Service Name,Cost Centre Code,Cost Centre Code Desc,Cost type,Subjective Code Desc,Year/Month,Actual / Forecast,Unit type,Units,Total cost,Per unit cost,Assignment number,Specialty (standardised),Site / Location,Directorate / Division,Staff group,Pay type,WTE equivalent,Cost per hour
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-01,,WTE,-65.68,"(£610,632.95)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-65.68,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-02,,WTE,-4.05,"(£58,262.02)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-4.05,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-02,,WTE,-8.51,"(£109,158.55)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-8.51,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-02,,WTE,-65.05,"(£575,645.45)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-65.05,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-03,,WTE,-2.94,"(£35,398.75)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Agency,-2.94,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-03,,WTE,-15.68,"(£191,499.07)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Bank,-15.68,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Medical,2025-03,,WTE,-66.04,"(£599,489.98)",,,Adult ED,,Integrated Emergency and Medical Pathways,Medical Staff,Substantive,-66.04,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-04,,WTE,-0.52,"(£4,428.79)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-0.52,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-04,,WTE,-7.31,"(£44,838.02)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.31,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-05,,WTE,-0.24,"(£2,219.01)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,-0.24,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-05,,WTE,-7.49,"(£44,476.75)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.49,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-06,,WTE,0,£0.02 ,,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,0,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-06,,WTE,-7.35,"(£44,660.77)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.35,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-07,,WTE,-7.35,"(£43,814.25)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.35,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-08,,WTE,-7.35,"(£43,815.45)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.35,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-09,,WTE,-7.35,"(£44,817.45)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-7.35,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-10,,WTE,0,£130.35 ,,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Bank,0,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-10,,WTE,-6.77,"(£58,730.47)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.77,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-11,,WTE,-6.32,"(£40,594.41)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.32,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2024-12,,WTE,-5.55,"(£35,855.03)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-5.55,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2025-01,,WTE,-5.55,"(£35,691.68)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-5.55,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2025-02,,WTE,-6.55,"(£40,741.67)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.55,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,Nursing,2025-03,,WTE,-6.55,"(£39,533.68)",,,Adult ED,,Integrated Emergency and Medical Pathways,Nursing & Midwifery Staff,Substantive,-6.55,
,Urgent and Emergency Care,257510,MEDICAL STAFF - EMERGENCY DEPT,Pay,"Scientific, Therapeutic & Tech",2024-04,,WTE,-0.53,"(£2,682.92)",,,Adult ED,,Integrated Emergency and Medical Pathways,"Scientific, Therapeutic & Technical Staff",Substantive,-0.53,
